Zeit;Kanal A
(ms);(mV)

-25,00833239;0,00000000
-25,00333239;0,00000000
-24,99833239;-0,18639270
-24,99333239;-0,18639270
-24,98833239;-0,74618600
-24,98333239;0,55979330
-24,97833239;0,00000000
-24,97333239;-0,37278540
-24,96833239;0,00000000
-24,96333239;-0,55979330
-24,95833239;-0,37278540
-24,95333239;0,00000000
-24,94833239;0,00000000
-24,94333239;0,00000000
-24,93833239;0,18639270
-24,93333239;0,00000000
-24,92833239;0,00000000
-24,92333239;0,55979330
-24,91833239;-0,37278540
-24,91333239;0,74618600
-24,90833239;0,18639270
-24,90333239;0,18639270
-24,89833239;0,55979330
-24,89333239;0,74618600
-24,88833239;0,18639270
-24,88333239;0,00000000
-24,87833239;0,00000000
-24,87333239;-0,18639270
-24,86833239;0,00000000
-24,86333239;-1,11958700
-24,85833239;-0,55979330
-24,85333239;-0,55979330
-24,84833239;-0,37278540
-24,84333239;-0,55979330
-24,83833239;-1,11958700
-24,83333239;-0,37278540
-24,82833239;-0,55979330
-24,82333239;-0,18639270
-24,81833239;0,37278540
-24,81333239;-0,74618600
-24,80833239;0,18639270
-24,80333239;-0,37278540
-24,79833239;0,18639270
-24,79333239;-0,18639270
-24,78833239;-0,37278540
-24,78333239;-0,55979330
-24,77833239;0,55979330
-24,77333239;-0,37278540
-24,76833239;0,18639270
-24,76333239;-0,18639270
-24,75833239;0,00000000
-24,75333239;-0,37278540
-24,74833239;0,00000000
-24,74333239;-0,37278540
-24,73833239;0,00000000
-24,73333239;0,00000000
-24,72833239;-0,37278540
-24,72333239;0,18639270
-24,71833239;-0,37278540
-24,71333239;0,37278540
-24,70833239;0,00000000
-24,70333239;-0,37278540
-24,69833239;0,00000000
-24,69333239;0,00000000
-24,68833239;-0,18639270
-24,68333239;-0,37278540
-24,67833239;-0,18639270
-24,67333239;-0,55979330
-24,66833239;-0,37278540
-24,66333239;-0,55979330
-24,65833239;-0,18639270
-24,65333239;-0,55979330
-24,64833239;-0,55979330
-24,64333239;-0,18639270
