Zeit;Kanal A
(ms);(mV)

-25,00799905;0,00000000
-25,00299905;0,00000000
-24,99799905;-0,37278540
-24,99299905;-0,55979330
-24,98799905;-0,37278540
-24,98299905;-0,37278540
-24,97799905;-0,74618600
-24,97299905;-0,37278540
-24,96799905;-0,37278540
-24,96299905;0,00000000
-24,95799905;-0,55979330
-24,95299905;0,00000000
-24,94799905;-0,37278540
-24,94299905;-0,18639270
-24,93799905;0,00000000
-24,93299905;-0,37278540
-24,92799905;0,18639270
-24,92299905;0,00000000
-24,91799905;-0,37278540
-24,91299905;0,00000000
-24,90799905;0,18639270
-24,90299905;0,00000000
-24,89799905;-0,37278540
-24,89299905;-0,18639270
-24,88799905;-0,37278540
-24,88299905;-0,55979330
-24,87799905;-0,74618600
-24,87299906;-0,74618600
-24,86799906;-0,74618600
-24,86299906;-0,55979330
-24,85799906;-1,30659400
-24,85299906;-0,74618600
-24,84799906;0,55979330
-24,84299906;-0,74618600
-24,83799906;-0,93319390
-24,83299906;-0,74618600
-24,82799906;-0,74618600
-24,82299906;-0,74618600
-24,81799906;-0,37278540
-24,81299906;0,00000000
-24,80799906;-0,37278540
-24,80299906;0,00000000
-24,79799906;0,00000000
-24,79299906;0,00000000
-24,78799906;-0,18639270
-24,78299906;0,18639270
-24,77799906;-0,37278540
-24,77299906;-0,37278540
-24,76799906;-0,18639270
-24,76299906;-0,18639270
-24,75799906;0,37278540
-24,75299906;0,00000000
-24,74799906;0,00000000
-24,74299906;0,00000000
-24,73799906;0,00000000
-24,73299906;0,00000000
-24,72799906;-0,37278540
-24,72299906;0,00000000
-24,71799906;-0,37278540
-24,71299906;-0,37278540
-24,70799906;-0,37278540
-24,70299906;-0,55979330
-24,69799906;-0,37278540
-24,69299906;-0,93319390
-24,68799906;-0,18639270
-24,68299906;-0,55979330
-24,67799906;-0,37278540
-24,67299906;-1,11958700
-24,66799906;0,00000000
-24,66299906;-0,37278540
-24,65799906;-1,49298700
-24,65299906;-0,93319390
-24,64799906;-0,74618600
-24,64299906;-0,74618600
