Zeit;Kanal A
(ms);(mV)

-25,00928477;0,00000000
-25,00428477;0,18639270
-24,99928477;0,37278540
-24,99428477;-0,18639270
-24,98928477;-0,55979330
-24,98428477;-0,55979330
-24,97928477;-0,74618600
-24,97428477;-0,37278540
-24,96928477;-0,74618600
-24,96428477;-0,37278540
-24,95928477;-0,74618600
-24,95428477;-0,74618600
-24,94928477;-0,74618600
-24,94428477;-0,37278540
-24,93928477;-0,74618600
-24,93428477;-0,18639270
-24,92928477;-0,18639270
-24,92428477;0,18639270
-24,91928477;0,37278540
-24,91428477;0,18639270
-24,90928477;0,55979330
-24,90428477;0,37278540
-24,89928477;0,18639270
-24,89428477;0,18639270
-24,88928477;0,18639270
-24,88428477;-0,37278540
-24,87928477;0,55979330
-24,87428477;-0,37278540
-24,86928477;0,00000000
-24,86428477;-0,37278540
-24,85928477;0,18639270
-24,85428477;-0,18639270
-24,84928477;-0,18639270
-24,84428477;-0,37278540
-24,83928477;-0,37278540
-24,83428477;0,37278540
-24,82928477;1,49298700
-24,82428477;-0,37278540
-24,81928477;-2,05339600
-24,81428477;-1,49298700
-24,80928477;-0,37278540
-24,80428477;-0,37278540
-24,79928477;-0,37278540
-24,79428477;0,00000000
-24,78928477;-0,37278540
-24,78428477;-0,74618600
-24,77928477;-0,55979330
-24,77428477;0,18639270
-24,76928477;-0,37278540
-24,76428477;-0,37278540
-24,75928477;-0,74618600
-24,75428477;-0,55979330
-24,74928477;-0,74618600
-24,74428477;-0,74618600
-24,73928477;-0,74618600
-24,73428477;-0,93319390
-24,72928477;-0,74618600
-24,72428477;-0,74618600
-24,71928477;-0,93319390
-24,71428477;-0,74618600
-24,70928477;-0,93319390
-24,70428477;-1,49298700
-24,69928477;-1,30659400
-24,69428477;-1,30659400
-24,68928477;-1,49298700
-24,68428477;-1,67999500
-24,67928477;-1,30659400
-24,67428477;-2,05339600
-24,66928477;-2,23978800
-24,66428477;-2,05339600
-24,65928477;-1,67999500
-24,65428477;-1,86638800
-24,64928478;-1,67999500
